sight,der Blick
mutually,gegenseitig
drop,der Tropfen
deserves,verdient
to submit,nachgeben
cunning,listig
criticism,aufrichtige
donkeys,Esel
excuses,Entschuldigungsgründe
angry,wütend
insights,Einsichten
especially,besonders
to surprise,überrasche
prayer,das Gebet
hear,hören
explain,erklären
debts,Schulden
careful,vorsichtig
else,sonst
sometimes,manchmal
life insurance,Lebensversicherung
prove,beweisen
understand,kennen lernen
choice,die Auswahl
understanding,das Verständnis
need,brauchen
giving up,hingeben
adorable,liebenswert
change,Veränderung
notice,bemerkt
breaks,bricht
to delay,verschiebe
goodbye,der Abschied
rushing,eilst
expect,erwarte
agreement,Vereinbarung
interesting,interessant
shame,die Schande
difficulties,Schwierigkeiten
needs,bedarf
find out,rausbekommen
snowball,der Schneeball
prolong,verlängert
least,wenigste
smiles,lächelt
to delight,erfreuen
commit,begeht
rabbits,Hasen
believed,geglaubt
special,besonders
distractions,Zerstreuungen
source,die Quelle
rational,vernünftig
wise,weiser
remains,bleibt
disadvantages,Nachteilen
smell,riecht
desert,die Wüste
needed,nötig
chain,die Kette
prevents,verhindert
look,blicken
thought,dachte
save,sparen
believed,glaubte
wisdom,Weisheit
impressions,Eindrücke
sentence,Satz
clever,kluger
foresee,voraussehen
cry,weinen
law,Gesetz
transform,verwandelt
undone,unverrichtet
described,beschrieben
intentions,Vorsätze
pretends,stellt
understanding,der Verstand
forgive,vergib
legs,Beinen
brave,mutig
otherwise,sonst
worries,Sorgen
swallow,schlucken
pain,der Schmerz
useless,unnütz
meaning,der Sinn
pointless,sinnloser
based,beruht
useless,nutzlos
favorite sport,der Lieblingssport
broom,der Besen
frogs,Frösche
demand,erfordern
to mean,bedeuten
to close,schließen
someone,jemanden
simplicity,Einfachheit
dignity,die Würde
roots,Wurzeln
goal,der Zweck
has,besitzt
flowers,Blumen
teacher,der Lehrer
thoughts,Gedanken
jump,springt
continuing,das Fortfahren
appropriate,angemessen
relationship,Beziehung
confirmation,Bestätigung
own,eigenen
see,einzusehen
exaggeration,Übertreibung
respect,Hochachtung
jealousy,Eifersucht
claims,behauptet
certainly,gewiss
factual,sachlich
happy,fröhlich
change,verändern
fulfillment,Erfüllung
example,das Beispiel
expectation,Erwartung
happened to,widerfuhr
slaves,Sklaven
fox,der Fuchs
rather,lieber
beneficial,vorteilhaft
scream,schreien
catch,fängt
have,besitzen
progress,der Fortschritt
hurt,verletzen
commitment,Verpflichtung
spoon,der Löffel
perfection,Vollendung
unmeasurable,unermessliches
deserves,verdient
careful,vorsichtig
science,Wissenschaft
bold,kühnen
changes,Veränderungen
belief,Überzeugung
inconvenience,Unannehmlichkeiten
stability,der Bestand
separately,getrennt
spend,Verbringe
demands,fordert
excess,das Übermaß
about,darauf
sold out,ausverkauft
joy,die Freude
outclass,übertrifft
deserve,verdienen
clever,klug
overcome,überwinden
half,die Hälfte
instructions,Anleitungen
hidden,verstecktes
crying,weinenden
to sacrifice,opfern
beliefs,Überzeugungen
laws of nature,die Naturgesetze
gives,verleiht
found,gefunden
urgent,dringende
speed,Geschwindigkeit
pleasure,die Freude
agreed,einverstanden
forgot,verloren
voices,Stimmen
wanted,wollte
reason,der Anlaß
limited,begrenzt
indisputable,unwiderleglich
probably,wahrscheinlich
essence,der Kern
to keep quiet,verschweigen
went through,durchgingen
superstitious,abergläubisch
unnecessary,unnötige
friend,der Freund
to question,bezweifelt
difficulties,Schwierigkeiten
suspicion,der Verdacht
fool,der Dummkopf
required,nötig
keep,erhalten
between,zwischen
viewing direction,Blickrichtung
actions,Handlungen
achieve,erlangen
enemies,Feinden
defeating,besiegt
distance,Entfernung
face,das Gesicht
invisible,unsichtbar
kept,erhalten
equation,Gleichung
experience,erleben
deserve,verdienen
pleasure,das Vergnügen
hurting,verletzen
understand,begriffen
swept,gefegt
opinions,Meinungen
less,weniger
why,warum
lazyness,die Faulheit
temptation,Versuchung
being proud,stolz zu sein
heals,heilt
laughs,lacht
loser,der Verlierer
impression,der Eindruck
require,erfordern
solution,Lösung
believe,glauben
surrender,aufgibt
thoughtfully,wohlüberlegt
to receive,bekommen
justified,berechtigt
careful,sorgfältig
lost,verfahren
serious,schwer
just,einfach
news,die Nachricht
to rain,regnen
bad luck,das Pech
to clean,putze
stomach,der Bauch
state,der Zustand
fat,fett
solves,löst
patience,die Geduld
beach,der Strand
divorce,Scheidung
chases,verfolgt
ground,der Boden
evaluate,einschätzen
alarm clock,der Wecker
now,jetzt
night,die Nacht
tires,Reifen
thoughts,Gedanken
decide,entschieden
to listen,hören
drunk,der Betrunkene
prevent,verhüten
even,sogar
woke up,aufgewacht
to emerge,entsteht
dispute,der Streit
sheeps,Schafe
admits,zugibt
to pack,verpackt
to look,aussieht
to bear,ertragen
crossroads,Scheidewegen
believable,glaubwürdige
insults,Beleidigungen
preparation,Vorbereitung
spending,ausgeben
cage,der Käfig
self-confidence,das Selbstbewusstsein
durability,Dauerhaftigkeit
substitute,der Ersatz
rationality,die Vernunft
decision ,der Entschluss
to want,wollen
silence,das Schweigen
justifies,rechtfertigt
to shoot,beschießen
kept,behalten
lie,die Lüge
needless,überflüssig
obedience,der Gehorsam
affraid,fürchtet
declaration,Erklärung
lack,der Mangel
to spoil,verderben
speakers,Redner
voice,die Stimme
fortune,der Reichtum
visit,der Besuch
violence,die Gewalt
