поглед,sight
взаимно,mutually
капка,drop
заслужава,deserves
да се подчини,to submit
хитър,cunning
искрени,criticism
магарета,donkeys
извинения,excuses
прозрения,insights
особено,especially
изненадвам,to surprise
молитвата,prayer
чуя,hear
обясни,explain
дългове,debts
внимателен,careful
друго,else
понякога,sometimes
докажете,prove
разберете,understand
изборът,choice
разбирането,understanding
нужда,need
отказваме,giving up
очарователен,adorable
промяната,change
забелязва,notice
чупи,breaks
отлагайте,to delay
довиждане,goodbye
бързате,rushing
очаквайте,expect
съгласие,agreement
интересно,interesting
срам,shame
трудности,difficulties
нуждае,needs
разбера,find out
снежна топка,snowball
удължава,prolong
най-малко,least
усмихва,smiles
носят наслада,to delight
извърши,commit
зайците,rabbits
вярва,believed
специален,special
разсеяности,distractions
източника,source
рационален,rational
мъдър,wise
остава,remains
недостатъци,disadvantages
миришат,smell
пустинята,desert
необходимо,needed
верига,chain
възпрепятства,prevents
погледнете,look
мислел,thought
спестиш,save
вярвах,believed
мъдростта,wisdom
впечатления,impressions
изречение,sentence
умен,clever
предвиди,foresee
плачат,cry
закон,law
превръща,transform
недовършени,undone
описал,described
намерения,intentions
преструва,pretends
разбиране,understanding
прости,forgive
смели,brave
в противен случай,otherwise
тревоги,worries
погълне,swallow
болката,pain
безполезен,useless
смисъла,meaning
безсмислен,pointless
основава,based
безполезен,useless
любимия спорт,favorite sport
метла,broom
жаби,frogs
изискват,demand
означават,to mean
затворите,to close
някой,someone
семплостта,simplicity
достойнство,dignity
корени,roots
целта,goal
притежава,has
краката,legs
цветята,flowers
учител,teacher
мисли,thoughts
скача,jump
продължителността,continuing
подходящо,appropriate
връзката,relationship
потвърждението,confirmation
собствени,own
вижда,see
преувеличение,exaggeration
уважението,respect
ревността,jealousy
твърди,claims
със сигурност,certainly
фактическа,factual
щастливи,happy
променим,change
изпълнение,fulfillment
пример,example
очакване,expectation
се случва на,happened to
роби,slaves
лисицата,fox
по-скоро,rather
полезно,beneficial
крещи,scream
се лови,catch
имате,have
напредък,progress
ангажимент,commitment
лъжица,spoon
съвършенството,perfection
неизмеримо,unmeasurable
заслужава,deserves
внимателен,careful
наука,science
смела,bold
промени,changes
вяра,belief
неудобството,inconvenience
стабилност,stability
отделно,separately
прекарвайте,spend
изисква,demands
излишък,excess
за това,about
радост,joy
постига превъзходство над,outclass
заслужаваме,deserve
умен,clever
преодолееш,overcome
половината,half
инструкции,instructions
скрит,hidden
плачещо,crying
да пожертваш,to sacrifice
вярванията,beliefs
законите на природата,laws of nature
дава,gives
намерил,found
спешна,urgent
скорост,speed
удоволствие,pleasure
съгласил,agreed
забравих,forgot
гласовете,voices
исках,wanted
причина,reason
ограничено,limited
неоспоримо,indisputable
вероятно,probably
същността,essence
премълчите,to keep quiet
минаваше през,went through
суеверни,superstitious
ненужната,unnecessary
приятел,friend
съмнява,to question
трудности,difficulties
подозрението,suspicion
глупакът,fool
необходимо,required
запази,keep
между,between
посоката на гледане,viewing direction
действия,actions
постигане,achieve
враговете,enemies
побеждава,defeating
разстояние,distance
лице,face
невидимо,invisible
пази,kept
уравнение,equation
изживеят,experience
заслужават,deserve
удоволствие,pleasure
нараня,hurting
схваща,understand
замита,swept
мнения,opinions
по-малко,less
защо,why
изкушението,temptation
да бъдете горди,being proud
лекува,heals
се смее,laughs
губещ,loser
впечатление,impression
изискват,require
решението,solution
да повярва,believe
предава,surrender
внимателно,thoughtfully
да получи,to receive
основателна,justified
внимателно,careful
загубил,lost
сериозно,serious
просто,just
новина,news
вали,to rain
лош късмет,bad luck
чистя,to clean
стомахът,stomach
състояние,state
дебел,fat
решава,solves
търпение,patience
плажа,beach
развод,divorce
преследва,chases
земята,ground
оценят,evaluate
будилникът,alarm clock
сега,now
нощта,night
гуми,tires
мисли,thoughts
взех решение,decide
слушат,to listen
пияният,drunk
да предотврати,prevent
дори,even
събудих,woke up
се получава,to emerge
спор,dispute
овце,sheeps
признава,admits
опакова,to pack
изглеждаш,to look
понесе,to bear
кръстопътя,crossroads
правдоподобно,believable
обидите,insults
подготовката,preparation
да харчиш,spending
клетка,cage
самочувствие,self-confidence
дълготрайност,durability
заместител,substitute
рационалността,rationality
решение,decision 
да искаш,to want
мълчанието,silence
оправдава,justifies
да стреляме,to shoot
запазено,kept
лъжата,lie
ненужен,needless
покорство,obedience
страхува,affraid
​​обявяването,declaration
липсата,lack
да развалиш,to spoil
оратори,speakers
гласа,voice
благосъстояние,fortune
посещение,visit
насилие,violence
слухът,rumor
искреността,sincerity
страстта,passion
позорно,disgraceful
предположение,guess
вълната,wave
няколко,several
преодолява,to overcome
намери,find
